67	-	48	=
2	+	1	=
60	+	32	=
78	-	22	=
9	+	74	=
76	-	55	=
53	-	13	=
96	-	79	=
1	+	56	=
14	+	77	=
47	+	30	=
54	-	29	=
22	+	57	=
13	+	37	=
16	+	31	=
49	+	27	=
10	+	49	=
52	+	17	=
49	+	41	=
40	-	6	=
13	-	9	=
88	-	6	=
61	+	6	=
65	-	13	=
86	-	22	=
27	+	11	=
25	-	7	=
38	+	54	=
51	-	11	=
65	-	2	=
66	+	15	=
100	-	8	=
64	-	47	=
31	+	21	=
58	+	25	=
63	-	32	=
38	+	54	=
47	+	23	=
73	-	23	=
53	-	5	=
28	+	63	=
6	+	53	=
28	+	68	=
24	+	55	=
33	+	63	=
38	-	23	=
67	+	19	=
78	-	11	=
89	-	62	=
70	-	15	=
58	+	14	=
11	+	38	=
50	-	5	=
16	+	2	=
76	-	3	=
40	+	26	=
71	-	35	=
14	+	4	=
73	-	50	=
71	+	16	=
2	+	70	=
72	-	60	=
78	-	45	=
96	-	38	=
29	+	43	=
90	+	10	=
7	+	17	=
51	-	5	=
33	-	16	=
1	+	34	=
50	+	43	=
55	-	5	=
22	-	22	=
45	+	26	=
24	-	0	=
4	+	78	=
3	+	94	=
78	-	53	=
32	+	21	=
85	-	63	=
87	-	84	=
93	-	82	=
99	-	82	=
46	+	41	=
86	-	43	=
88	-	32	=
95	-	11	=
64	-	32	=
39	+	40	=
37	+	25	=
93	-	15	=
95	-	37	=
13	+	29	=
54	-	44	=
59	-	35	=
49	+	37	=
97	-	74	=
33	+	63	=
27	+	11	=
74	-	46	=
37	+	15	=
43	-	43	=
11	+	35	=
55	-	1	=
95	-	17	=
59	-	54	=
6	+	93	=
33	-	25	=
3	+	78	=
81	-	49	=
97	-	40	=
84	-	84	=
13	+	47	=
30	+	62	=
16	+	50	=
14	+	68	=
95	+	5	=
13	+	55	=
67	-	19	=
6	+	80	=
4	+	68	=
31	+	24	=
66	-	2	=
56	-	1	=
72	+	13	=
55	+	5	=
78	-	66	=
98	-	52	=
87	-	39	=
13	+	0	=
74	-	73	=
21	+	74	=
54	-	31	=
21	+	65	=
27	-	21	=
43	+	52	=
51	-	7	=
7	+	53	=
74	-	51	=
75	-	39	=
86	-	23	=
30	+	8	=
19	+	72	=
98	+	1	=
66	-	20	=
81	+	4	=
73	-	20	=
95	-	1	=
55	-	39	=
70	-	43	=
80	-	77	=
26	+	49	=
43	+	41	=
57	+	43	=
21	+	33	=
69	+	11	=
3	-	1	=
85	-	1	=
19	+	13	=
28	+	55	=
63	-	51	=
27	+	50	=
87	-	10	=
80	-	62	=
60	-	2	=
56	-	30	=
9	+	86	=
88	-	60	=
16	+	47	=
85	+	14	=
87	-	23	=
46	+	40	=
51	-	47	=
78	+	10	=
59	-	55	=
16	+	17	=
57	-	40	=
84	-	73	=
24	+	9	=
89	-	30	=
73	-	30	=
88	-	51	=
1	+	65	=
18	+	75	=
24	-	0	=
88	-	4	=
62	+	10	=
98	-	98	=
27	-	7	=
40	-	39	=
54	-	25	=
70	+	22	=
38	-	24	=
78	+	20	=
44	+	53	=
68	-	57	=
37	+	40	=
26	+	50	=
41	+	6	=
9	+	10	=
60	-	27	=
50	+	26	=
24	+	41	=
52	+	43	=
11	+	1	=
11	+	39	=
18	+	11	=
79	-	51	=
24	+	26	=
19	-	9	=
95	-	45	=
97	-	21	=
99	-	2	=
3	+	85	=
63	-	8	=
27	+	45	=
9	-	1	=
92	-	48	=
55	+	30	=
75	-	22	=
81	-	38	=
6	+	75	=
97	-	89	=
