21	+	26	-	33	=
94	-	30	+	18	=
95	+	2	-	30	=
10	+	63	-	55	=
23	+	61	+	7	=
83	-	1	-	51	=
96	-	17	-	20	=
11	+	31	-	31	=
72	-	57	+	43	=
35	-	20	+	58	=
65	-	42	+	1	=
85	+	5	-	83	=
43	-	19	+	12	=
55	-	53	-	2	=
74	-	69	+	29	=
60	+	2	-	6	=
38	+	4	+	15	=
5	+	79	-	37	=
34	+	8	-	20	=
30	+	44	+	18	=
56	+	18	-	2	=
8	+	73	-	8	=
62	-	51	+	30	=
63	+	30	-	5	=
58	+	16	-	33	=
98	-	52	-	23	=
44	+	14	-	23	=
88	-	31	+	10	=
98	-	53	+	44	=
43	+	47	-	26	=
25	+	36	+	14	=
82	-	21	+	1	=
35	+	53	-	57	=
40	-	2	-	17	=
35	+	25	-	46	=
3	+	55	+	22	=
70	-	65	+	22	=
25	+	14	-	23	=
76	-	58	+	50	=
71	-	56	+	37	=
20	+	55	+	25	=
93	-	88	+	11	=
7	+	27	+	28	=
54	-	19	+	21	=
98	-	27	-	45	=
76	-	28	+	45	=
81	-	25	-	47	=
77	-	45	+	14	=
7	+	25	+	18	=
95	-	6	-	30	=
97	-	61	-	4	=
61	-	22	+	50	=
20	+	68	-	64	=
21	-	15	+	31	=
81	-	35	-	12	=
44	+	56	-	18	=
82	-	20	-	56	=
64	+	23	-	41	=
29	+	37	-	62	=
68	-	55	+	36	=
75	+	17	-	67	=
35	+	44	-	60	=
97	-	29	-	41	=
45	+	45	+	7	=
78	-	34	+	27	=
78	-	45	+	59	=
55	-	53	+	88	=
80	-	20	-	30	=
98	-	39	-	40	=
74	-	47	-	3	=
87	-	84	+	27	=
27	+	2	+	61	=
96	-	22	+	20	=
19	-	16	+	12	=
42	+	11	-	32	=
94	-	30	-	40	=
29	+	34	-	23	=
28	+	34	+	36	=
99	-	35	-	51	=
98	-	75	+	68	=
85	-	5	-	15	=
23	+	69	-	79	=
23	+	21	+	41	=
98	-	54	-	5	=
62	+	23	-	80	=
95	-	14	+	2	=
90	-	59	+	50	=
76	+	6	+	7	=
60	-	57	+	2	=
25	+	69	+	4	=
99	-	35	-	58	=
53	+	15	-	62	=
82	-	31	+	48	=
39	-	28	+	4	=
16	+	17	+	11	=
37	+	33	+	15	=
40	-	37	+	18	=
64	+	22	-	38	=
5	+	90	+	3	=
45	-	40	+	64	=
72	+	10	-	73	=
55	-	10	+	50	=
47	+	32	-	12	=
15	-	11	-	2	=
16	+	23	-	37	=
14	+	28	-	22	=
72	-	40	-	32	=
57	+	25	+	7	=
32	+	1	+	59	=
71	-	56	+	77	=
94	-	47	-	18	=
88	-	44	-	11	=
16	+	5	+	42	=
9	+	80	-	85	=
69	-	26	+	32	=
99	-	7	+	5	=
28	+	60	-	15	=
7	+	16	-	14	=
5	+	53	-	46	=
8	+	84	-	15	=
90	+	6	-	46	=
22	+	56	-	35	=
37	-	24	+	28	=
10	+	64	-	61	=
8	+	18	+	68	=
73	-	44	-	19	=
20	-	20	+	43	=
97	-	2	-	90	=
5	+	67	+	3	=
49	+	13	-	18	=
75	-	2	+	19	=
10	+	65	-	71	=
53	-	22	-	7	=
4	+	27	+	69	=
55	-	35	+	64	=
58	-	35	+	61	=
38	-	7	-	4	=
46	+	5	+	20	=
3	+	30	+	18	=
5	+	63	-	53	=
11	+	50	+	12	=
100	-	38	-	45	=
43	+	48	-	28	=
84	-	50	-	13	=
92	-	76	-	2	=
74	-	73	+	63	=
75	+	19	+	5	=
96	-	83	+	25	=
83	-	5	-	60	=
49	-	26	+	60	=
68	-	39	+	17	=
91	-	78	+	27	=
12	+	32	-	39	=
22	+	36	+	30	=
27	+	31	-	12	=
23	-	3	+	44	=
48	+	16	-	55	=
16	+	3	+	25	=
51	-	43	+	61	=
62	+	29	-	58	=
12	+	76	-	15	=
32	+	34	+	25	=
45	-	17	-	7	=
74	-	53	+	2	=
61	-	57	+	87	=
17	+	1	+	69	=
43	-	18	+	18	=
100	-	69	+	19	=
45	+	4	-	49	=
83	-	56	+	51	=
100	-	50	-	43	=
12	+	32	-	28	=
75	-	21	-	46	=
51	-	48	+	20	=
76	-	19	-	46	=
25	-	22	+	55	=
4	+	84	-	47	=
92	-	9	-	50	=
65	+	5	+	7	=
45	-	19	+	40	=
14	+	40	+	27	=
96	-	43	-	47	=
40	+	44	-	50	=
30	-	13	+	5	=
89	-	64	+	4	=
52	-	4	-	5	=
64	-	46	-	9	=
47	+	41	-	33	=
65	-	10	-	32	=
82	-	57	+	4	=
34	-	11	+	73	=
10	+	39	+	44	=
1	+	4	+	19	=
20	-	6	+	12	=
3	+	25	-	16	=
65	+	13	+	5	=
63	+	22	-	17	=
19	+	54	-	10	=
97	-	7	-	21	=
72	-	68	+	7	=
76	-	37	-	12	=
76	-	63	+	81	=
22	+	2	+	35	=
21	+	67	-	48	=
25	+	62	-	23	=
50	+	40	-	48	=
51	-	1	+	28	=
66	-	47	-	11	=
80	+	18	-	46	=
13	+	46	-	3	=
79	+	5	-	29	=
76	-	50	+	12	=
95	-	5	-	75	=
66	-	38	+	21	=
78	+	15	-	7	=
11	+	76	-	10	=
53	-	2	+	11	=
36	-	13	+	5	=
88	-	75	+	73	=
77	-	42	-	32	=
44	+	14	+	31	=
79	-	63	+	66	=
95	-	56	-	17	=
91	-	70	+	2	=
78	-	22	-	17	=
94	-	44	+	4	=
21	+	75	-	38	=
18	+	26	+	36	=
29	-	16	+	60	=
30	-	14	+	79	=
18	+	66	-	35	=
54	-	34	+	7	=
15	-	11	+	92	=
98	-	75	+	28	=
25	+	15	-	26	=
92	-	33	-	29	=
17	+	72	-	7	=
84	-	1	-	73	=
79	+	3	-	27	=
20	+	60	-	2	=
81	-	36	-	11	=
10	+	72	-	25	=
84	-	14	-	62	=
82	-	41	-	10	=
81	+	6	+	12	=
11	-	4	+	32	=
24	-	4	+	35	=
96	-	56	-	37	=
92	-	50	-	26	=
33	-	8	+	42	=
85	-	59	+	63	=
25	-	6	+	31	=
56	+	6	-	8	=
21	+	50	-	39	=
25	+	10	+	5	=
49	-	27	+	30	=
27	+	38	+	32	=
67	-	50	+	24	=
96	-	31	-	18	=
26	+	28	+	31	=
56	+	1	+	40	=
59	-	51	-	5	=
61	-	21	+	12	=
78	-	10	-	63	=
44	-	14	+	65	=
32	-	21	+	58	=
74	+	10	-	76	=
87	+	11	-	68	=
98	-	11	-	19	=
97	-	8	-	48	=
11	+	75	-	44	=
50	+	1	+	48	=
46	-	29	+	49	=
61	-	49	+	18	=
86	+	5	-	66	=
69	-	69	+	0	=
83	-	77	-	5	=
30	+	6	+	45	=
72	-	26	-	19	=
8	+	91	-	99	=
66	+	17	-	80	=
47	+	34	-	24	=
2	+	34	-	23	=
72	+	8	-	52	=
62	-	38	+	16	=
74	-	35	+	13	=
52	+	12	+	25	=
89	-	9	-	40	=
91	-	91	+	58	=
51	+	24	-	51	=
44	-	4	-	30	=
74	-	47	-	12	=
59	+	36	-	30	=
41	+	6	+	34	=
87	-	22	+	12	=
8	+	26	+	55	=
36	+	0	-	10	=
92	-	23	+	5	=
32	+	1	+	11	=
60	-	9	+	43	=
44	-	12	+	66	=
19	+	9	+	65	=
100	-	86	+	59	=
14	+	52	-	34	=
56	+	22	-	9	=
10	+	89	-	6	=
8	+	47	+	43	=
20	+	6	+	59	=
6	+	93	-	86	=
42	+	57	-	5	=
63	+	19	-	71	=
2	+	54	-	8	=
26	+	20	-	0	=
92	-	77	+	5	=
48	-	1	-	1	=
40	+	44	+	15	=
57	-	54	+	70	=
43	-	21	+	68	=
3	+	88	-	74	=
70	+	9	-	44	=
64	+	5	+	22	=
42	-	38	+	35	=
75	-	28	+	16	=
35	+	6	+	49	=
58	+	1	-	27	=
44	+	18	+	19	=
87	-	40	-	5	=
28	-	27	+	22	=
62	+	11	-	59	=
80	-	23	+	6	=
91	-	79	+	45	=
34	+	33	+	26	=
54	-	51	+	96	=
77	-	73	+	19	=
54	+	3	-	48	=
92	-	38	+	17	=
71	-	6	-	17	=
66	-	34	+	23	=
55	+	21	-	35	=
71	+	23	-	8	=
67	+	33	-	74	=
62	-	33	+	69	=
56	+	44	-	12	=
89	+	10	-	49	=
79	+	3	-	28	=
24	+	11	+	30	=
38	+	35	-	27	=
59	+	9	-	63	=
71	-	66	+	80	=
61	+	7	-	42	=
31	+	59	-	66	=
20	+	21	+	31	=
43	+	47	-	49	=
45	+	2	-	14	=
38	+	40	-	67	=
65	-	51	+	41	=
64	+	31	-	1	=
3	+	50	-	25	=
54	+	10	+	24	=
68	-	64	+	76	=
12	+	47	-	9	=
95	-	64	+	5	=
3	+	20	+	32	=
27	+	22	+	28	=
19	+	48	+	4	=
83	+	12	-	60	=
96	-	88	+	28	=
68	-	3	-	37	=
30	+	19	+	46	=
